         1444331 function calls (1421026 primitive calls) in 1.652 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.294    0.147    0.294    0.147 {built-in method matplotlib._png.write_png}
        1    0.197    0.197    1.401    1.401 plot_gtex.py:29(main)
    22951    0.056    0.000    0.057    0.000 plot_gtex.py:13(binary_search)
    21687    0.046    0.000    0.046    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      123    0.042    0.000    0.042    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      283    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
      576    0.035    0.000    0.060    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    22722    0.035    0.000    0.035    0.000 {built-in method numpy.array}
    40333    0.024    0.000    0.026    0.000 plot_gtex.py:7(linear_search)
    18688    0.021    0.000    0.068    0.000 fromnumeric.py:69(_wrapreduction)
      369    0.020    0.000    0.020    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      612    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      198    0.018    0.000    0.022    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        3    0.016    0.005    0.017    0.006 backend_agg.py:81(__init__)
1196/1125    0.013    0.000    0.041    0.000 {built-in method builtins.__build_class__}
       27    0.012    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
      765    0.012    0.000    0.122    0.000 lines.py:721(draw)
      434    0.011    0.000    0.137    0.000 _base.py:2436(handle_single_axis)
4920/2821    0.010    0.000    0.028    0.000 transforms.py:2457(get_affine)
    22117    0.010    0.000    0.013    0.000 __init__.py:872(__getitem__)
20981/15115    0.010    0.000    0.020    0.000 artist.py:225(stale)
    60456    0.009    0.000    0.014    0.000 {built-in method builtins.isinstance}
      651    0.008    0.000    0.038    0.000 transforms.py:739(intersection)
     6216    0.008    0.000    0.008    0.000 {built-in method numpy.dot}
     1321    0.008    0.000    0.010    0.000 transforms.py:2861(nonsingular)
     3145    0.007    0.000    0.021    0.000 transforms.py:757(__init__)
   127862    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    25004    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
      871    0.007    0.000    0.017    0.000 numeric.py:2508(within_tol)
99914/98967    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      746    0.007    0.000    0.051    0.000 text.py:280(_get_layout)
      391    0.007    0.000    0.050    0.000 lines.py:277(__init__)
  498/207    0.006    0.000    0.016    0.000 sre_parse.py:469(_parse)
4969/2394    0.006    0.000    0.007    0.000 transforms.py:134(_invalidate_internal)
      123    0.006    0.000    0.006    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     3280    0.006    0.000    0.027    0.000 transforms.py:1056(get_points)
      389    0.006    0.000    0.026    0.000 lines.py:637(recache)
     4842    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
    12861    0.005    0.000    0.005    0.000 transforms.py:83(__init__)
    18688    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
 1742/877    0.005    0.000    0.010    0.000 units.py:140(get_converter)
     8180    0.005    0.000    0.008    0.000 transforms.py:1725(__init__)
     7362    0.005    0.000    0.030    0.000 fromnumeric.py:2512(amin)
     1072    0.004    0.000    0.011    0.000 path.py:193(_update_values)
     2164    0.004    0.000    0.042    0.000 transforms.py:1407(transform)
      690    0.004    0.000    0.004    0.000 {built-in method zlib.crc32}
     7370    0.004    0.000    0.026    0.000 fromnumeric.py:2397(amax)
     6557    0.004    0.000    0.011    0.000 transforms.py:1870(__init__)
      615    0.004    0.000    0.009    0.000 inspect.py:2117(_signature_from_function)
     1318    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      643    0.004    0.000    0.068    0.000 text.py:892(get_window_extent)
