         1426964 function calls (1403659 primitive calls) in 10.839 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    63284    9.275    0.000    9.279    0.000 plot_gtex.py:7(linear_search)
        2    0.293    0.147    0.293    0.147 {built-in method matplotlib._png.write_png}
        1    0.198    0.198   10.590   10.590 plot_gtex.py:29(main)
    21687    0.044    0.000    0.044    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      123    0.042    0.000    0.042    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      283    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
      576    0.036    0.000    0.061    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    22722    0.035    0.000    0.035    0.000 {built-in method numpy.array}
    18688    0.020    0.000    0.065    0.000 fromnumeric.py:69(_wrapreduction)
      612    0.020    0.000    0.020    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      369    0.019    0.000    0.019    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      198    0.018    0.000    0.022    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        3    0.016    0.005    0.016    0.005 backend_agg.py:81(__init__)
1196/1125    0.013    0.000    0.040    0.000 {built-in method builtins.__build_class__}
       27    0.012    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
      765    0.012    0.000    0.124    0.000 lines.py:721(draw)
      434    0.011    0.000    0.133    0.000 _base.py:2436(handle_single_axis)
    22117    0.010    0.000    0.013    0.000 __init__.py:872(__getitem__)
4920/2821    0.010    0.000    0.029    0.000 transforms.py:2457(get_affine)
20981/15115    0.010    0.000    0.020    0.000 artist.py:225(stale)
    60456    0.009    0.000    0.014    0.000 {built-in method builtins.isinstance}
     6216    0.008    0.000    0.008    0.000 {built-in method numpy.dot}
      651    0.007    0.000    0.036    0.000 transforms.py:739(intersection)
     1321    0.007    0.000    0.010    0.000 transforms.py:2861(nonsingular)
   127862    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    25004    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
     3145    0.007    0.000    0.021    0.000 transforms.py:757(__init__)
99914/98967    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      871    0.007    0.000    0.016    0.000 numeric.py:2508(within_tol)
      746    0.006    0.000    0.050    0.000 text.py:280(_get_layout)
      391    0.006    0.000    0.049    0.000 lines.py:277(__init__)
  498/207    0.006    0.000    0.016    0.000 sre_parse.py:469(_parse)
4969/2394    0.006    0.000    0.007    0.000 transforms.py:134(_invalidate_internal)
      123    0.006    0.000    0.006    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     3280    0.006    0.000    0.028    0.000 transforms.py:1056(get_points)
      389    0.005    0.000    0.026    0.000 lines.py:637(recache)
     1929    0.005    0.000    0.006    0.000 transforms.py:161(set_children)
    12861    0.005    0.000    0.005    0.000 transforms.py:83(__init__)
     4842    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
     8180    0.005    0.000    0.008    0.000 transforms.py:1725(__init__)
    18688    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
 1742/877    0.005    0.000    0.010    0.000 units.py:140(get_converter)
     7362    0.004    0.000    0.029    0.000 fromnumeric.py:2512(amin)
     1072    0.004    0.000    0.011    0.000 path.py:193(_update_values)
     7370    0.004    0.000    0.025    0.000 fromnumeric.py:2397(amax)
      690    0.004    0.000    0.004    0.000 {built-in method zlib.crc32}
     2164    0.004    0.000    0.042    0.000 transforms.py:1407(transform)
     6557    0.004    0.000    0.011    0.000 transforms.py:1870(__init__)
     1318    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     4432    0.004    0.000    0.034    0.000 re.py:271(_compile)
      623    0.003    0.000    0.007    0.000 transforms.py:697(translated)
      615    0.003    0.000    0.009    0.000 inspect.py:2117(_signature_from_function)
     1817    0.003    0.000    0.005    0.000 font_manager.py:621(__hash__)
      217    0.003    0.000    0.006    0.000 _base.py:2426(<listcomp>)
      643    0.003    0.000    0.065    0.000 text.py:892(get_window_extent)
      871    0.003    0.000    0.034    0.000 numeric.py:2431(isclose)
      856    0.003    0.000    0.004    0.000 {built-in method matplotlib._path.update_path_extents}
      856    0.003    0.000    0.009    0.000 transforms.py:855(update_from_path)
      434    0.003    0.000    0.006    0.000 _base.py:2445(<listcomp>)
      531    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      582    0.003    0.000    0.005    0.000 artist.py:82(__init__)
    26543    0.003    0.000    0.003    0.000 artist.py:962(sticky_edges)
      135    0.003    0.000    0.082    0.001 text.py:694(draw)
      883    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
  900/197    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
    24699    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     3180    0.003    0.000    0.017    0.000 transforms.py:336(xmin)
    12546    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      283    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      906    0.003    0.000    0.009    0.000 backend_bases.py:733(__init__)
